Ticker,Name,Primary Bucket,Side,Crest,Crest Rationale
ACMR,ACM Research Inc Class A,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
ADBE,Adobe Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
AEIS,Advanced Energy Industries Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
AMD,Advanced Micro Devices Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
AEHR,Aehr Test Systems,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
AVAV,AeroVironment Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
AEVA,Aeva Technologies Inc Ordinary Shares,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
LIDR,AEye Inc Ordinary Shares - Class A,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
AKAM,Akamai Technologies Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
BABA,Alibaba Group Holding Ltd ADR,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
GOOGL,Alphabet Inc Class A,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
AMZN,Amazon.com Inc,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
AMBA,Ambarella Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
AMT,American Tower Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
AMKR,Amkor Technology Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
ASYS,Amtech Systems Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
APLD,Applied Digital Corp,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
AMAT,Applied Materials Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
AAOI,Applied Optoelectronics Inc,4 Networking,Supplier,Early,"Early-crest, Supplier: datacenter fabric/optics; sells into the buildout."
APP,AppLovin Corp Ordinary Shares - Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ANET,Arista Networks Inc,4 Networking,Supplier,Mid,"Mid-crest, Supplier: datacenter fabric/optics; sells into the buildout."
ARM,ARM Holdings PLC ADR,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
ARQQ,Arqit Quantum Inc,Q Quantum,Supplier,Mid,"Mid-crest, Supplier: frontier compute, speculative; sells into the buildout."
ARRY,Array Technologies Inc Ordinary Shares,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ASML,ASML Holding NV ADR,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
ASTS,AST SpaceMobile Inc Ordinary Shares - Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
ALAB,Astera Labs Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
TEAM,Atlassian Corp Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ATOM,Atomera Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
AUR,Aurora Innovation Inc Class A,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
ACLS,Axcelis Technologies Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
AXTI,AXT Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
BIDU,Baidu Inc ADR,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
BSY,Bentley Systems Inc Ordinary Shares - Class B,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
BBAI,BigBear.ai Holdings Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
BILI,Bilibili Inc ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
BTBT,Bit Digital Inc Ordinary Shares,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
BAH,Booz Allen Hamilton Holding Corp Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
BRZE,Braze Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
AVGO,Broadcom Inc,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
BWXT,BWX Technologies Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
AI,C3.ai Inc Ordinary Shares - Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
CDNS,Cadence Design Systems Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
CCJ,Cameco Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
CAMT,Camtek Ltd,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
CARR,Carrier Global Corp Ordinary Shares,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
LEU,Centrus Energy Corp Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
CBRS,Cerebras Systems Inc Class A,1 Compute Semi,Supplier,Early,"Early-crest, Supplier: GPUs/accelerators ordered first in the wave; sells into the buildout."
