Ticker,Name,Primary Bucket Code,Primary Bucket,Secondary Bucket Weights
ACMR,ACM Research Inc Class A,3,3 Foundry/Semicap,3:1.00
ADBE,Adobe Inc,6,6 AI Software,6:1.00
AEIS,Advanced Energy Industries Inc,3,3 Foundry/Semicap,3:0.70/5:0.30
AMD,Advanced Micro Devices Inc,1,1 Compute Semi,1:0.85/4:0.10/6:0.05
AEHR,Aehr Test Systems,3,3 Foundry/Semicap,3:1.00
AVAV,AeroVironment Inc,R,R Robotics/Autonomy,R:0.70/6:0.30
AEVA,Aeva Technologies Inc Ordinary Shares,X,X Edge AI/Vision,X:1.00
LIDR,AEye Inc Ordinary Shares - Class A,X,X Edge AI/Vision,X:1.00
AKAM,Akamai Technologies Inc,6,6 AI Software,6:1.00
BABA,Alibaba Group Holding Ltd ADR,7,7 Hyperscaler,7:0.60/6:0.40
GOOGL,Alphabet Inc Class A,7,7 Hyperscaler,7:0.50/6:0.30/1:0.10/4:0.10
AMZN,Amazon.com Inc,7,7 Hyperscaler,7:0.60/6:0.20/1:0.10/5:0.10
AMBA,Ambarella Inc,1,1 Compute Semi,1:0.60/X:0.30/R:0.10
AMT,American Tower Corp,5,5 Power/Cooling,5:0.30/Comms:0.70
AMKR,Amkor Technology Inc,3,3 Foundry/Semicap,3:1.00
ASYS,Amtech Systems Inc,3,3 Foundry/Semicap,3:1.00
APLD,Applied Digital Corp,5,5 Power/Cooling,5:0.70/7:0.30
AMAT,Applied Materials Inc,3,3 Foundry/Semicap,3:1.00
AAOI,Applied Optoelectronics Inc,4,4 Networking,4:1.00
APP,AppLovin Corp Ordinary Shares - Class A,6,6 AI Software,6:1.00
ANET,Arista Networks Inc,4,4 Networking,4:0.90/6:0.10
ARM,ARM Holdings PLC ADR,1,1 Compute Semi,1:0.70/6:0.30
ARQQ,Arqit Quantum Inc,Q,Q Quantum,Q:1.00
ARRY,Array Technologies Inc Ordinary Shares,5,5 Power/Cooling,5:1.00
ASML,ASML Holding NV ADR,3,3 Foundry/Semicap,3:1.00
ASTS,AST SpaceMobile Inc Ordinary Shares - Class A,5,5 Power/Cooling,5:0.50/6:0.50
ALAB,Astera Labs Inc,1,1 Compute Semi,1:0.50/4:0.50
TEAM,Atlassian Corp Class A,6,6 AI Software,6:1.00
ATOM,Atomera Inc,3,3 Foundry/Semicap,3:1.00
AUR,Aurora Innovation Inc Class A,R,R Robotics/Autonomy,R:1.00
ACLS,Axcelis Technologies Inc,3,3 Foundry/Semicap,3:1.00
AXTI,AXT Inc,3,3 Foundry/Semicap,3:1.00
BIDU,Baidu Inc ADR,7,7 Hyperscaler,7:0.40/6:0.40/R:0.20
BSY,Bentley Systems Inc Ordinary Shares - Class B,6,6 AI Software,6:1.00
BBAI,BigBear.ai Holdings Inc,6,6 AI Software,6:1.00
BILI,Bilibili Inc ADR,6,6 AI Software,6:0.60/Cons:0.40
BTBT,Bit Digital Inc Ordinary Shares,5,5 Power/Cooling,5:0.40/7:0.60
BAH,Booz Allen Hamilton Holding Corp Class A,6,6 AI Software,6:1.00
BRZE,Braze Inc Class A,6,6 AI Software,6:1.00
AVGO,Broadcom Inc,1,1 Compute Semi,1:0.55/4:0.30/6:0.15
BWXT,BWX Technologies Inc,5,5 Power/Cooling,5:1.00
AI,C3.ai Inc Ordinary Shares - Class A,6,6 AI Software,6:1.00
CDNS,Cadence Design Systems Inc,6,6 AI Software,6:0.50/3:0.50
CCJ,Cameco Corp,5,5 Power/Cooling,5:1.00
CAMT,Camtek Ltd,3,3 Foundry/Semicap,3:1.00
CARR,Carrier Global Corp Ordinary Shares,5,5 Power/Cooling,5:1.00
LEU,Centrus Energy Corp Class A,5,5 Power/Cooling,5:1.00
CBRS,Cerebras Systems Inc Class A,1,1 Compute Semi,1:0.70/7:0.20/6:0.10
CEVA,CEVA Inc,X,X Edge AI/Vision,X:1.00
CIEN,Ciena Corp,4,4 Networking,4:1.00
CIFR,Cipher Digital Inc,5,5 Power/Cooling,5:0.40/7:0.60
CSCO,Cisco Systems Inc,4,4 Networking,4:0.80/6:0.20
NET,Cloudflare Inc,6,6 AI Software,6:0.70/4:0.30
CGNX,Cognex Corp,X,X Edge AI/Vision,X:1.00
COHR,Coherent Corp,4,4 Networking,4:1.00
COHU,Cohu Inc,3,3 Foundry/Semicap,3:1.00
CEG,Constellation Energy Corp,5,5 Power/Cooling,5:1.00
CORZ,Core Scientific Inc Ordinary Shares - New,5,5 Power/Cooling,5:0.50/7:0.50
CRWV,CoreWeave Inc Ordinary Shares - Class A,7,7 Hyperscaler,7:0.80/5:0.20
GLW,Corning Inc,4,4 Networking,4:0.40/5:0.20/X:0.40
CRDO,Credo Technology Group Holding Ltd,4,4 Networking,4:0.60/1:0.40
CRWD,CrowdStrike Holdings Inc Class A,6,6 AI Software,6:1.00
